Station,Longitude,Latitude
0,-122.3283,37.784
1,-122.3283,37.7885
2,-122.3283,37.793
3,-122.3226,37.784
4,-122.3226,37.7885
5,-122.3226,37.793
6,-122.3169,37.7795
7,-122.3169,37.784
8,-122.3169,37.7885
9,-122.3169,37.793
10,-122.3112,37.7795
11,-122.3112,37.784
12,-122.3112,37.7885
13,-122.3055,37.784
14,-122.3055,37.7885
15,-122.2998,37.775
16,-122.2998,37.784
17,-122.2998,37.7885
18,-122.2941,37.775
19,-122.2941,37.7795
20,-122.2941,37.784
21,-122.2941,37.7885
22,-122.2885,37.7705
23,-122.2885,37.775
24,-122.2885,37.7795
25,-122.2885,37.784
26,-122.2885,37.7885
27,-122.2828,37.7705
28,-122.2828,37.775
29,-122.2828,37.7795
30,-122.2828,37.784
31,-122.2828,37.7885
32,-122.2771,37.7705
33,-122.2771,37.775
34,-122.2771,37.7795
35,-122.2771,37.784
36,-122.2771,37.7885
37,-122.2714,37.766
38,-122.2714,37.7705
39,-122.2714,37.775
40,-122.2714,37.7795
41,-122.2714,37.784
42,-122.2657,37.7615
43,-122.2657,37.766
44,-122.2657,37.7705
45,-122.2657,37.775
46,-122.2657,37.7795
47,-122.26,37.7615
48,-122.26,37.766
49,-122.26,37.7705
50,-122.26,37.775
51,-122.26,37.7795
52,-122.2543,37.757
53,-122.2543,37.7615
54,-122.2543,37.766
55,-122.2543,37.7705
56,-122.2543,37.775
57,-122.2486,37.757
58,-122.2486,37.7615
59,-122.2486,37.766
60,-122.2486,37.7705
61,-122.2486,37.775
62,-122.2429,37.7525
63,-122.2429,37.757
64,-122.2429,37.7615
65,-122.2429,37.766
66,-122.2429,37.7705
67,-122.2372,37.7525
68,-122.2372,37.757
69,-122.2372,37.7615
70,-122.2372,37.766
71,-122.2372,37.7705
72,-122.2315,37.7525
73,-122.2315,37.757
74,-122.2315,37.7615
75,-122.2315,37.766
76,-122.2258,37.757
77,-122.2258,37.7615
78,-122.3283,37.784
79,-122.3283,37.7885
80,-122.3283,37.793
81,-122.3226,37.784
82,-122.3226,37.7885
83,-122.3226,37.793
84,-122.3169,37.7795
85,-122.3169,37.784
86,-122.3169,37.7885
87,-122.3169,37.793
88,-122.3112,37.7795
89,-122.3112,37.784
90,-122.3112,37.7885
91,-122.3055,37.784
92,-122.3055,37.7885
93,-122.2998,37.775
94,-122.2998,37.784
95,-122.2998,37.7885
96,-122.2941,37.775
97,-122.2941,37.7795
98,-122.2941,37.784
99,-122.2941,37.7885
100,-122.2885,37.7705
101,-122.2885,37.775
102,-122.2885,37.7795
103,-122.2885,37.784
104,-122.2885,37.7885
105,-122.2828,37.7705
106,-122.2828,37.775
107,-122.2828,37.7795
108,-122.2828,37.784
109,-122.2828,37.7885
110,-122.2771,37.7705
111,-122.2771,37.775
112,-122.2771,37.7795
113,-122.2771,37.784
114,-122.2771,37.7885
115,-122.2714,37.766
116,-122.2714,37.7705
117,-122.2714,37.775
118,-122.2714,37.7795
119,-122.2714,37.784
120,-122.2657,37.7615
121,-122.2657,37.766
122,-122.2657,37.7705
123,-122.2657,37.775
124,-122.2657,37.7795
125,-122.26,37.7615
126,-122.26,37.766
127,-122.26,37.7705
128,-122.26,37.775
129,-122.26,37.7795
130,-122.2543,37.757
131,-122.2543,37.7615
132,-122.2543,37.766
133,-122.2543,37.7705
134,-122.2543,37.775
135,-122.2486,37.757
136,-122.2486,37.7615
137,-122.2486,37.766
138,-122.2486,37.7705
139,-122.2486,37.775
140,-122.2429,37.7525
141,-122.2429,37.757
142,-122.2429,37.7615
143,-122.2429,37.766
144,-122.2429,37.7705
145,-122.2372,37.7525
146,-122.2372,37.757
147,-122.2372,37.7615
148,-122.2372,37.766
149,-122.2372,37.7705
150,-122.2315,37.7525
151,-122.2315,37.757
152,-122.2315,37.7615
153,-122.2315,37.766
154,-122.2258,37.757
155,-122.2258,37.7615
156,-122.236,37.7507
157,-122.2779,37.7851
158,-122.2871,37.7852
159,-122.2873,37.7881
160,-122.2781,37.7894
161,-122.2777,37.787
162,-122.3126,37.7833
163,-122.3125,37.7825
164,-122.3124,37.7838
165,-122.324,37.7818
166,-122.3246,37.7895
167,-122.3254,37.7956
168,-122.2358,37.7593
169,-122.2373,37.7665
170,-122.2886,37.7747
171,-122.2649,37.7733
172,-122.2944,37.7724
173,-122.2706,37.7683
174,-122.2577,37.7607
175,-122.2261,37.7551
176,-122.2783,37.7764
