GP_file,Longitude,Latitude,Vs30
Site265.csv,28.8831,40.9795,318
Site329.csv,28.8831,40.9818,337
Site330.csv,28.886,40.9818,329.2
Site331.csv,28.889,40.9818,271.4
Site332.csv,28.8979,40.9819,305.6
Site333.csv,28.9009,40.9819,304.6
Site334.csv,28.9039,40.982,292
Site404.csv,28.886,40.9841,259.1
Site405.csv,28.889,40.9841,259.9
Site406.csv,28.8919,40.9841,269.5
Site407.csv,28.8949,40.9841,313.3
Site408.csv,28.8979,40.9842,310.9
Site409.csv,28.9009,40.9842,285.4
Site410.csv,28.9038,40.9842,299.1
Site411.csv,28.9068,40.9843,286.3
Site479.csv,28.886,40.9863,296.7
Site480.csv,28.8889,40.9863,260.1
Site481.csv,28.8919,40.9864,285
Site482.csv,28.8949,40.9864,333.1
Site483.csv,28.8978,40.9864,309.5
Site484.csv,28.9008,40.9864,318.6
Site485.csv,28.9038,40.9865,297.1
Site486.csv,28.9068,40.9865,300.5
Site487.csv,28.9097,40.9865,302.7
Site550.csv,28.8859,40.9886,294.1
Site551.csv,28.8889,40.9886,266.7
Site552.csv,28.8919,40.9886,293.2
Site553.csv,28.8948,40.9886,300.1
Site554.csv,28.8978,40.9887,303.8
Site555.csv,28.9008,40.9887,320.6
Site556.csv,28.9037,40.9887,293.7
Site557.csv,28.9067,40.9888,315.2
Site558.csv,28.9097,40.9888,284.6
Site559.csv,28.9127,40.9888,277.7
Site560.csv,28.9156,40.9888,266.1
Site621.csv,28.8859,40.9908,300.8
Site622.csv,28.8889,40.9908,304.5
Site623.csv,28.8918,40.9909,276.5
Site624.csv,28.8948,40.9909,289.8
Site625.csv,28.8978,40.9909,299.2
Site626.csv,28.9007,40.9909,303
Site627.csv,28.9037,40.991,320.9
Site628.csv,28.9067,40.991,306.3
Site629.csv,28.9096,40.991,302.3
Site630.csv,28.9126,40.9911,325.8
Site631.csv,28.9156,40.9911,275.1
Site632.csv,28.9186,40.9911,257.8
Site633.csv,28.9215,40.9911,284.1
Site634.csv,28.9245,40.9912,271.8
Site695.csv,28.8858,40.9931,281.8
Site696.csv,28.8888,40.9931,281.9
Site697.csv,28.8918,40.9931,287.1
Site698.csv,28.8948,40.9931,280.9
Site699.csv,28.8977,40.9932,303.8
Site700.csv,28.9007,40.9932,310
Site701.csv,28.9037,40.9932,261.1
Site702.csv,28.9066,40.9933,308.4
Site703.csv,28.9096,40.9933,311.3
Site704.csv,28.9126,40.9933,304.8
Site705.csv,28.9156,40.9933,281.5
Site706.csv,28.9185,40.9934,266.2
Site707.csv,28.9215,40.9934,299.2
Site708.csv,28.9245,40.9934,289.9
Site709.csv,28.9274,40.9935,375.3
Site770.csv,28.8858,40.9953,338.9
Site771.csv,28.8888,40.9953,292.5
Site772.csv,28.8918,40.9954,273.2
Site773.csv,28.8947,40.9954,280.4
Site774.csv,28.8977,40.9954,318
Site775.csv,28.9007,40.9954,298
Site776.csv,28.9036,40.9955,306.2
Site777.csv,28.9066,40.9955,307.7
Site778.csv,28.9096,40.9955,300.6
Site779.csv,28.9125,40.9956,302.7
Site780.csv,28.9155,40.9956,276.8
Site781.csv,28.9185,40.9956,329.7
Site782.csv,28.9215,40.9956,284.5
Site783.csv,28.9244,40.9957,299.1
Site784.csv,28.9274,40.9957,288
Site845.csv,28.8858,40.9976,295.6
Site846.csv,28.8887,40.9976,310.2
Site847.csv,28.8917,40.9976,263.3
Site848.csv,28.8947,40.9976,292.6
Site849.csv,28.8977,40.9977,307.4
Site850.csv,28.9006,40.9977,360.3
Site851.csv,28.9036,40.9977,343.1
Site852.csv,28.9066,40.9978,308
Site853.csv,28.9095,40.9978,340.8
Site854.csv,28.9125,40.9978,291.5
Site855.csv,28.9155,40.9978,293.4
Site856.csv,28.9185,40.9979,293.6
Site857.csv,28.9214,40.9979,286.5
Site858.csv,28.9244,40.9979,286.5
Site859.csv,28.9274,40.998,311.7
Site922.csv,28.8857,40.9998,311.1
Site923.csv,28.8887,40.9998,284.6
Site924.csv,28.8917,40.9999,264.1
Site925.csv,28.8946,40.9999,274.4
Site926.csv,28.8976,40.9999,296.8
Site927.csv,28.9006,40.9999,323.1
Site928.csv,28.9036,41,365
Site929.csv,28.9065,41,334.5
Site930.csv,28.9095,41,330.4
Site931.csv,28.9125,41.0001,315.4
Site932.csv,28.9154,41.0001,324.7
Site933.csv,28.9184,41.0001,294.7
Site934.csv,28.9214,41.0001,336.9
Site935.csv,28.9244,41.0002,305.8
Site936.csv,28.9273,41.0002,306
